ICDId;Category;ICD10CODE;DESCRIPTION
11411;T51-T65;T59.6/1;Hydrogen sulfide poisoning, intentional self harm
11412;T51-T65;T59.7;Carbon dioxide
11413;T51-T65;T59.8;Other specified gases, fumes and vapours
11414;T51-T65;T59.9;Gases, fumes and vapours, unspecified
11415;T51-T65;T60;Toxic effect of pesticides
11416;T51-T65;T60.0;Organophosphate and carbamate insecticides, accidental/intentional self harm
11417;T51-T65;T60.0/0;Organophosphate poisoning, accidental
11418;T51-T65;T60.0/1;Organophosphate poisoning, intentional self harm
11419;T51-T65;T60.1;Halogenated insecticides
11420;T51-T65;T60.2;Other insecticides
11421;T51-T65;T60.3;Herbicides and fungicides
11422;T51-T65;T60.4;Rodenticides,T51-T65
11423;T51-T65;T60.8;Other pesticides
11424;T51-T65;T60.9;Pesticide, unspecified
11425;T51-T65;T61;Toxic effect of noxious and substances eaten as seafood
11426;T51-T65;T61.0;Ciguatera fish poisoning
11427;T51-T65;T61.0/0;Ciguatera fish poisoning, accidental
11428;T51-T65;T61.1;Scombroid fish poisoning
11429;T51-T65;T61.2;Other fish and shellfish (mussels) poisoning (accidental)
11430;T51-T65;T61.2/0;Fish poisoning, accidental
11431;T51-T65;T61.2/1;Mussels poisoning, accidental
11432;T51-T65;T61.2/2;Shellfish poisoning, accidental
11433;T51-T65;T61.8;Toxic effect of other seafoods
11434;T51-T65;T61.9;Toxic effect of unspecified seafood, accidental
11435;T51-T65;T61.9/0;Seafood poisoning, accidental
11436;T51-T65;T62;Toxic effect of other noxious substances eaten as food
11437;T51-T65;T62.0;Ingested mushrooms
11438;T51-T65;T62.1;Ingested berries
11439;T51-T65;T62.2;Other ingested (parts of) plant(s)
11440;T51-T65;T62.8;Other specified noxious substances eaten as food
11441;T51-T65;T62.9;Noxious substance eaten as food, unspecified(FOOD POISONING, accidental)
11442;T51-T65;T63;Toxic effect of contact with venomous animals
11443;T51-T65;T63.0;Snake venom (SNAKE BITE)
11444;T51-T65;T63.0/0;Snakebite,T51-T65
11445;T51-T65;T63.0/1;Snakebite, venomous
11446;T51-T65;T63.1;Venom of other reptiles
11447;T51-T65;T63.2;Venom of scorpion
11448;T51-T65;T63.3;Venom of spider
11449;T51-T65;T63.4;Venom of other arthropods
11450;T51-T65;T63.5;Toxic effect of contact with fish
11451;T51-T65;T63.6;Toxic effect of contact with other marine animals
11452;T51-T65;T63.8;Toxic effect of contact with other venomous animals
11453;T51-T65;T63.9;Toxic effect of contact with unspecified venomous animals
11454;T51-T65;T64;Toxic effect of aflatoxin and other mycotoxin food contaminants
11455;T51-T65;T65;Toxic effect of other and unspecified substances
11456;T51-T65;T65.0;Cyanide Poisoning, accidental/intentional self harm
11457;T51-T65;T65.0/0;Cyanide poisoning, accidental
11458;T51-T65;T65.0/1;Cyanide poisoning, intentional self harm
11459;T51-T65;T65.1;Strychnine and its salts
11460;T51-T65;T65.2;Tobacco and nicotine
11461;T51-T65;T65.3;Nitroderivatives and aminoderivatives of benzene and its homologues, accidental/intentional self harm (Watusi)
11462;T51-T65;T65.3/0;Watusi poisoning, accidental
11463;T51-T65;T65.3/1;Watusi Poisoning, intentional self harm
11464;T51-T65;T65.4;Carbon disulfide
11465;T51-T65;T65.5;Nitroglycerin and other nitric acids and esters
11466;T51-T65;T65.6;Paints and dyes, not elsewhere classified
11467;T51-T65;T65.8;Toxic effect of other specified substances, accidental/intentional self harm (Watusi)
11468;T51-T65;T65.8/0;Watusi poisoning, accidental
11469;T51-T65;T65.8/1;Watusi Poisoning, intentional self harm
11470;T51-T65;T65.9;Toxic effect of unspecified substance(CHEMICAL INGESTION / POISONING)
11471;T51-T65;T65.9/0;Poisoning,T51-T65
11472;T66-T78;T66;Unspecified effects of radiation
11473;T66-T78;T67;Effects of heat and light
11474;T66-T78;T67.0;Heatstroke and sunstroke
11475;T66-T78;T67.1;Heat syncope
11476;T66-T78;T67.2;Heat cramp
11477;T66-T78;T67.3;Heat exhaustion, anhydrotic
11478;T66-T78;T67.4;Heat exhaustion due to salt depletion
11479;T66-T78;T67.5;Heat exhaustion, unspecified
11480;T66-T78;T67.6;Heat fatigue, transient
11481;T66-T78;T67.7;Heat oedema
11482;T66-T78;T67.8;Other effects of heat and light
11483;T66-T78;T67.9;Effect of heat and light, unspecified
11484;T66-T78;T68;Hypothermia,T66-T78
11485;T66-T78;T69;Other effects of reduced temperature
11486;T66-T78;T69.0;Immersion hand and foot
11487;T66-T78;T69.1;Chilblains,T66-T78
11488;T66-T78;T69.8;Other specified effects of reduced temperature
11489;T66-T78;T69.9;Effect of reduced temperature, unspecified
11490;T66-T78;T70;Effects of air pressure and water pressure
11491;T66-T78;T70.0;Otitic barotrauma
11492;T66-T78;T70.1;Sinus barotrauma
11493;T66-T78;T70.2;Other and unspecified effects of high altitude
11494;T66-T78;T70.3;Caisson diseases [decompression sickness]
11495;T66-T78;T70.4;Effects of high-pressure fluids
11496;T66-T78;T70.8;Other effects of air pressure and water pressure
11497;T66-T78;T70.9;Effect of air pressure and water pressure, unspecified
11498;T66-T78;T71;Asphyxiation,T66-T78
11499;T66-T78;T73;Effects of other deprivation
11500;T66-T78;T73.0;Effects of hunger
11501;T66-T78;T73.1;Effects of thirst
11502;T66-T78;T73.2;Exhaustion due to exposure
11503;T66-T78;T73.3;Exhaustion due to excessive exertion
11504;T66-T78;T73.8;Other effects of deprivation
11505;T66-T78;T73.9;Effect of deprivation, unspecified
11506;T66-T78;T74;Maltreatment syndromes
11507;T66-T78;T74.0;Neglect of abandonment
11508;T66-T78;T74.1;Physical abuse
11509;T66-T78;T74.2;Sexual abuse (RAPE)
11510;T66-T78;T74.3;Psychological abuse
11511;T66-T78;T74.8;Other maltreatment syndromes
11512;T66-T78;T74.9;Maltreatment syndrome, unspecified
11513;T66-T78;T75;Effects of other external causes
11514;T66-T78;T75.0;Effects of lighting
11515;T66-T78;T75.1;Drowning and nonfatal submersion
11516;T66-T78;T75.2;Effects of vibration
11517;T66-T78;T75.3;Motion sickness
11518;T66-T78;T75.4;Effects of electric current
11519;T66-T78;T75.8;Other specified effects of external causes
11520;T66-T78;T78;Adverse effects, not elsewhere classified
11521;T66-T78;T78.0;Anaphylactic shock due to adverse food reaction
11522;T66-T78;T78.1;Other adverse food reactions, not elsewhere classified(FOOD ALLERGY)
11523;T66-T78;T78.1/0;Food allergy
11524;T66-T78;T78.2;Anaphylactic shock, unspecified(ANAPHYLAXIS)
11525;T66-T78;T78.3;angioneutic oedema
11526;T66-T78;T78.4;Allergy, unspecified(HYPERSENSITIVITY REACTION)
11527;T66-T78;T78.4/0;Allergy,T66-T78
11528;T66-T78;T78.4/1;Hypersensitivity reaction
11529;T66-T78;T78.8;Other adverse effects, not elsewhere classified
11530;T66-T78;T78.9;Adverse effect, unspecified
11531;T79;T79;Certain early complications of trauma, not elsewhere classified
11532;T79;T79.0;Air embolism (traumatic)
11533;T79;T79.1;Fat embolism (traumatic)
11534;T79;T79.2;Traumatic secondary and recurrent haemorrhage
11535;T79;T79.3;Post-traumatic wound infection, not elsewhere classified(INFECTED WOUND)
11536;T79;T79.4;Traumatic shock
11537;T79;T79.5;Traumatic anuria
11538;T79;T79.6;Traumatic ischaemia of muscle
11539;T79;T79.7;Traumatic subcutaneous emphysema
11540;T79;T79.8;Other early complications of trauma
11541;T79;T79.9;Unspecified early complication of trauma
11542;T79;T79.0;Air embolism (traumatic)
11543;T79;T79.1;Fat embolism (traumatic)
11544;T79;T79.2;Traumatic secondary and recurrent haemorrhage
11545;T79;T79.3;Post-traumatic wound infection, not elsewhere classified(INFECTED WOUND)
11546;T79;T79.4;Traumatic shock
11547;T79;T79.5;Traumatic anuria
11548;T79;T79.6;Traumatic ischaemia of muscle
11549;T79;T79.7;Traumatic subcutaneous emphysema
11550;T79;T79.8;Other early complications of trauma
11551;T79;T79.9;Unspecified early complication of trauma
11552;T80-T88;T80;Complications following infusion, transfusion and therapeutic injection
11553;T80-T88;T80.0;Air embolism following infusion, transfusion and therapeutic injection
11554;T80-T88;T80.1;Vascular complications following infusion, transfusion and therapeutic injection
11555;T80-T88;T80.2;Infections following infusion, transfusion and therapeutic injection
11556;T80-T88;T80.3;ABO incompatibility reaction
11557;T80-T88;T80.4;Rh incompatibility reaction
11558;T80-T88;T80.5;Anaphylactic shock due to serum
11559;T80-T88;T80.6;Other serum reactions
11560;T80-T88;T80.8;Other complications following infusion, transfusion and therapeutic injection
11561;T80-T88;T80.9;Unspecified complication following infusion, transfusion and therapeutic injection(BLOOD TRANSFUSION REACTION)
11562;T80-T88;T80.9/0;Blood transfusion reaction
11563;T80-T88;T81;Complications of procedures, nor elsewhere classified
11564;T80-T88;T81.0;Haemorrhage and haematoma complicating a procedure, not elsewhere classified
11565;T80-T88;T81.1;Shock during or resulting from a procedure, not elsewhere classified
11566;T80-T88;T81.2;Accidental puncture and laceration during a procedure, not elsewhere classified
11567;T80-T88;T81.3;Disruption of operation wound, nor elsewhere classified
11568;T80-T88;T81.4;Infection following a procedure, not elsewhere classified
11569;T80-T88;T81.5;Foreign body accidentally left in body cavity or operation wound following a procedure
11570;T80-T88;T81.6;Acute reaction to foreign susbstance accidentally left during a procedure
11571;T80-T88;T81.7;Vascular complications following a procedure, not elsewhere classified
11572;T80-T88;T81.8;Other complications of procedures, not elsewhere classified
11573;T80-T88;T81.9;Unspecified complication of procedure
11574;T80-T88;T82;Complications of cardiac and vascular prosthetic devices, implants and grafts
11575;T80-T88;T82.0;Mechanical complication of heart valve prosthesis
11576;T80-T88;T82.1;Mechanical complication of cardiac electronic device
11577;T80-T88;T82.2;Mechanical complication of coronary artery bypass and valvegrafts
11578;T80-T88;T82.3;Mechanical complication of other ascular grafts
11579;T80-T88;T82.4;Mechanical complication of vascular dialysis catheter
11580;T80-T88;T82.5;Mechanical complication of other cardiac and vascular devices
11581;T80-T88;T82.6;Infection of inflammatory reaction due to cardiac valve prosthesis
11582;T80-T88;T82.7;Infection of inflammatory reaction due to other cardiac and vascular devices, implants and grafts
11583;T80-T88;T82.8;Other complications of cardiac and vascular prosthetic devices, implants and grafts
11584;T80-T88;T82.9;Unspecified complication of cardiac and vascular prosthetic device, implant and graft
11585;T80-T88;T83;Complications of genitourinary prosthetic devices, implants and grafts
11586;T80-T88;T83.0;Mechanical complication of urinary (indwelling) catheter
11587;T80-T88;T83.1;Mechanical complication of other urinary devices and implants
11588;T80-T88;T83.2;Mechanical complication of graft of urinary organ
11589;T80-T88;T83.3;Mechanical complication of intrauterine contraceptive device
11590;T80-T88;T83.4;Mechanical complication of other prosthetic devices, implants and grafts in general tract
11591;T80-T88;T83.5;Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system
11592;T80-T88;T83.6;Infection and inflammatory reaction due to prosthetic device, implant and graft in genital tract
11593;T80-T88;T83.8;Other complications of genitourinary prosthetic devices, implant s and grafts
11594;T80-T88;T83.9;Unspecified complication of genitourinary prosthetic device, implant and graft
11595;T80-T88;T84;Complications of internal orthopaedic prosthetic devices, implants and grafts
11596;T80-T88;T84.0;Mechanical complication of internal joint prosthesis
11597;T80-T88;T84.1;Mechanical complication of internal fixation device of bones of limb
11598;T80-T88;T84.2;Mechanical complication of internal fixation device of other bones
11599;T80-T88;T84.3;Mechanical complication of other bone devices, implants and grafts
11600;T80-T88;T84.4;Mechanical complication of other internal orthopaedic devices, implants and grafts
11601;T80-T88;T84.5;Infection of inflammatory reaction due to internal joint prosthesis
11602;T80-T88;T84.6;Infection of inflammatory reaction due to internal fixation device [any site]
11603;T80-T88;T84.7;Infection of inflammatory reaction due to other internal orthopaedic prosthetic devices, implants and grafts
11604;T80-T88;T84.8;Other complications og internal orthopaedic prosthetic devices, implants and grafts
11605;T80-T88;T84.9;Unspecified complication of internal orthopaedic prosthetic device, implant and graft (complication of arthroplasty)
11606;T80-T88;T85;Complications of other internal orthopaedic prosthetic devices, implants and grafts
11607;T80-T88;T85.0;Mechanical complication of ventricular intracranial (communicating) shunt
11608;T80-T88;T85.1;Mechanical complication of implanted electronic stimulator of nervous system
11609;T80-T88;T85.2;Mechanical complication of intraocular lens
11610;T80-T88;T85.3;Mechanical complication of other ocular prosthetic devices, implants and grafts
11611;T80-T88;T85.4;Mechanical complication of breast prosthesis and implant
11612;T80-T88;T85.5;Mechanical complication of gastrointestinal prosthetic devices, implants and grafts
11613;T80-T88;T85.6;Mechanical complication of other specified internal prosthetic devices, implants and grafts
11614;T80-T88;T85.7;Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts
11615;T80-T88;T85.8;Other complications of internal prosthetic devices, implants and grafts, not elsewhere classified
11616;T80-T88;T85.9;Unspecified complication of internal prosthetic device, implant and graft
11617;T80-T88;T86;Failure and rejection of transplanted organs and tissues
11618;T80-T88;T86.0;Bone-marrow transplant rejection
11619;T80-T88;T86.1;Kidney transplant failure and rejection
11620;T80-T88;T86.2;Heart transplant failure and rejection
11621;T80-T88;T86.3;Heart-lung transplant failure and rejection
11622;T80-T88;T86.4;Liver transplant failure and rejection
11623;T80-T88;T86.8;Failure and rejection of other transplanted organs and tissues
11624;T80-T88;T86.9;Failure and rejection of unspecified transplanted organ and tissue
11625;T80-T88;T87;Complications peculiar to reattachment and amputation
11626;T80-T88;T87.0;Complications of reattached (part of) upper extremity
11627;T80-T88;T87.1;Complications of reattached (part of) lower extremity
11628;T80-T88;T87.2;Complications of other reattached body part
11629;T80-T88;T87.3;Neuroma of amputation stump
11630;T80-T88;T87.4;Infection of amputation stump
11631;T80-T88;T87.5;Necrosis of amputation stump
11632;T80-T88;T87.6;Other and unspecified complications of amputation stump
11633;T80-T88;T88;Other complications of surgical and medical care, not elsewhere classified
11634;T80-T88;T88.0;Infection following immunization
11635;T80-T88;T88.1;Other complications following immunization, not elsewhere classified
11636;T80-T88;T88.2;Shock due to anaesthesia
11637;T80-T88;T88.3;Malignant hyperthermia due to anaesthesia
11638;T80-T88;T88.4;Failed or difficult intubation
11639;T80-T88;T88.5;Other complications of anaesthesia
11640;T80-T88;T88.6;Anaphylactic shock due to adverse effect of correct drug or medicament properly administered
11641;T80-T88;T88.7;Unspecified adverse effect of drug or medicament(DRUG REACTION)
11642;T80-T88;T88.8;Other specified complications of surgical and medical care, not elsewhere classified
11643;T80-T88;T88.9;Complication of surgical and medical care, unspecified
11644;T90-T98;T90;Sequelae of injuries of head
11645;T90-T98;T90.0;Sequelae of superficial injury of head
11646;T90-T98;T90.1;Sequelae of open wound of head
11647;T90-T98;T90.2;Sequelae of fracture of skull and facial bones
11648;T90-T98;T90.3;Sequelae of injury of cranial nerves
11649;T90-T98;T90.4;Sequelae of injury of eye and orbit
11650;T90-T98;T90.5;Sequelae of intracranial injury
11651;T90-T98;T90.8;Sequelae of other specified injuries of head
11652;T90-T98;T90.9;Sequelae of unspecified injury of head
11653;T90-T98;T91;Sequelae of injuries of neck and trunk
11654;T90-T98;T91.0;Sequelae of superficial injury and open wound of neck and trunk
11655;T90-T98;T91.1;Sequelae of fracture of spine
11656;T90-T98;T91.2;Sequelae of other fracture of thorax and pelvis
11657;T90-T98;T91.3;Sequelae of injury of spinal cord
11658;T90-T98;T91.4;Sequelae of injury of intrathoracic organs
11659;T90-T98;T91.5;Sequelae of injury of intra-abdominal and pelvic organs
11660;T90-T98;T91.8;Sequelae of other specified injuries of neck and trunk
11661;T90-T98;T91.9;Sequelae of unspecified injury of neck and trunk
11662;T90-T98;T92;Sequelae of injuries of upper limb
11663;T90-T98;T92.0;Sequelae of open wound of upper limb
11664;T90-T98;T92.1;Sequelae of fracture of arm
11665;T90-T98;T92.2;Sequelae of fracture at wrist and hand level
11666;T90-T98;T92.3;Sequelae of dislocation, sprain and strain of upper limb
11667;T90-T98;T92.4;Sequelae of injury of nerve of upper limb
11668;T90-T98;T92.5;Sequelae of injury of muscle and tendon of upper limb
11669;T90-T98;T92.6;Sequelae of crushing injury and traumatic amputation of upper limb
11670;T90-T98;T92.8;Sequelae of other specified injuries of upper limb
11671;T90-T98;T92.9;Sequelae of unspecified injury of upper limb
11672;T90-T98;T93;Sequelae of injuries of lower limb
11673;T90-T98;T93.0;Sequelae of open wound of lower limb
11674;T90-T98;T93.1;Sequelae of fracture of femur
11675;T90-T98;T93.2;Sequelae of other fractures of lower limb
11676;T90-T98;T93.3;Sequelae of dislocation, sprain and strain of lower limb
11677;T90-T98;T93.4;Sequelae of injury of nerve of lower limb
11678;T90-T98;T93.5;Sequelae of injury of muscle and tendon of lower limb
11679;T90-T98;T93.6;Sequelae of crushing injury and traumatic amputation of lower limb
11680;T90-T98;T93.8;Sequelae of other specified injuries of lower limb
11681;T90-T98;T93.9;Sequelae of unspecified injury of lower limb
11682;T90-T98;T94;Sequelae of injuries involving multiple and unspecified body regions
11683;T90-T98;T94.0;Sequelae of injuries involving multiple body regions
11684;T90-T98;T94.1;Sequelae of injuries, not specified by body region
11685;T90-T98;T95;Sequelae of burns, corrosions and frostbite
11686;T90-T98;T95.0;Sequelae of burn, corrosion and frostbite of head and neck
11687;T90-T98;T95.1;Sequelae of burn, corrosion and frostbite of trunk
11688;T90-T98;T95.2;Sequelae of burn, corrosion and frostbite of upper limb
11689;T90-T98;T95.3;Sequelae of burn, corrosion and frostbite of lower limb
11690;T90-T98;T95.4;Sequelae of burn and corrosion classifiable only according to extent of body surface involved
11691;T90-T98;T95.8;Sequelae of other specified burn, corrosion and frostbite
11692;T90-T98;T95.9;Sequelae of unspecified burn, corrosion and frostbite
11693;T90-T98;T96;Sequelae of poisoning by drugs, medicaments and biological substances
11694;T90-T98;T97;Sequelae of toxic effects of substances chiefly nonmedicinal as to source
11695;T90-T98;T98;Sequelae of other and unspecified effects of external causes
11696;T90-T98;T98.0;Sequelae of effects of foreign body entering through natural orifice
11697;T90-T98;T98.1;Sequelae of other and unspecified effects of external causes
11698;T90-T98;T98.2;Sequelae of certain early complications of trauma
11699;T90-T98;T98.3;Sequelae of complications of surgical and medical care, not elsewhere classified
11700;U00-U09;U04.9;Severe Acute Respiratory Syndrome (SARS)
11701;V01-V09;V01;Pedestrian injured in collision with pedal cycle
11702;V01-V09;V02;Pedestrian injured in collision with two- or three-wheeled motor vehicle
11703;V01-V09;V03;Pedestrian injured in collision with car, pick-up truck or van
11704;V01-V09;V04;Pedestrian injured in collision with heavy transport vehicle or bus
11705;V01-V09;V05;Pedestrian injured in collision with railway train or railway vehicle
11706;V01-V09;V06;Pedestrian injured in collision with other nonmotor vehicle
11707;V01-V09;V09;Pedestrian injured in other and unspecified transport accidents
11708;V01-V09;V09.0;Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles
11709;V01-V09;V09.1;Pedestrian injured in unspecified nontraffic accident
11710;V01-V09;V09.2;Pedestrian injured in traffic accident involving other and unspecified motor vehicles
11711;V01-V09;V09.3;Pedestrian injured in unspecified traffic accident
11712;V01-V09;V09.9;Pedestrian injured in unspecified transport accident
11713;V10-V19;V10;Pedal cyclist injured in collision with pedestrian or animal
11714;V10-V19;V11;Pedal cyclist injured in collision with other pedal cycle
11715;V10-V19;V12;Pedal cyclist injured in collision with two-or three-wheeled motor vehicle
11716;V10-V19;V13;Pedal cyclist injured in collision with car, pick-up truck or van
11717;V10-V19;V14;Pedal cyclist injured in collision with heavy transport vehicle or bus
11718;V10-V19;V15;Pedal cyclist injured in collision with railway train or railway vehicle
11719;V10-V19;V16;Pedal cyclist injured in collision with other nonmotor vehicle
11720;V10-V19;V17;Pedal cyclist injured in collision with fixed or stationary object
11721;V10-V19;V18;Pedal cyclist injured in noncollision transport accident
11722;V10-V19;V19;Pedal cyclist injured in other and unspecified transport accidents
11723;V10-V19;V19.0;Driver injured in collision with other and unspecified motor vehicles in nontraffic accident
11724;V10-V19;V19.1;Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident
11725;V10-V19;V19.2;Unspecified pedal cyclist injured in collision with other and unspecified motor vehicles in nontraffic accident
11726;V10-V19;V19.3;Pedal cyclist [any] injured in unspecified nontraffic accident
11727;V10-V19;V19.4;Driver injured in collision with other and unspecified motor vehicles in traffic accident
11728;V10-V19;V19.5;Passenger injured in collision with other and unspecified motor vehicles in traffic accident
11729;V10-V19;V19.8;Pedal cyclist (any) injured in other specified transport accidents
11730;V10-V19;V19.9;Pedal cyclist (any) injured in unspecified traffic accident
11731;V20-V29;V20;Motorcycle rider injured in collision with pedestrian or animal
11732;V20-V29;V21;Motorcyle rider injured in collision with pedal cycle
11733;V20-V29;V22;Motorcyle rider injured in collision with two-or three-wheeled motor vehicle
11734;V20-V29;V23;Motorcyle rider injured in collision with car, pick-up truck or van
11735;V20-V29;V24;Motorcyle rider injured in collision with heavy transport vehicle or bus
11736;V20-V29;V25;Motorcyle rider injured in collision with railway train or railway vehicle
11737;V20-V29;V26;Motorcyle rider injured in collision with other nonmotor vehicle
11738;V20-V29;V27;Motorcycle rider injured in collision with fixed or stationary object
11739;V20-V29;V28;Motorcyle rider injured in noncollision transport accident
11740;V20-V29;V29;Motorcyle rider injured in other and unspecified transport accidents
11741;V20-V29;V29.0;Driver injured in collision with other and unspecified motor vehicles in nontraffic accident
11742;V20-V29;V29.1;Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident
11743;V20-V29;V29.2;Unspecified motorcyle rider injured in collision with other and unspecified motor vehicles in nontraffic accident
11744;V20-V29;V29.3;Motorcycle rider (any) injured in unspecified nontraffic accident
11745;V20-V29;V29.4;Driver injured in collision with other and unspecified motor vehicles in traffic accident
11746;V20-V29;V29.5;Passenger injured in collision with other and unspecified motor vehicles in traffic accident
11747;V20-V29;V29.6;Unspecified motorcyle rider injured in collision with other and unspecified motor vehicles in traffic accident
11748;V20-V29;V29.8;Motorcycle rider (any) injured in other specified transport accidents
11749;V20-V29;V29.9;Motorcyle rider (any) injured in unspecified traffic accident
11750;V30-V39;V30;Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal
11751;V30-V39;V31;Occupant of three-wheeled motor vehicle injured in collision with pedal cycle
11752;V30-V39;V32;Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle
11753;V30-V39;V33;Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van.
11754;V30-V39;V34;Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus
11755;V30-V39;V35;Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle
11756;V30-V39;V36;Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle
11757;V30-V39;V37;Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object
11758;V30-V39;V38;Occupant of three-wheeled motor vehicle injured in noncollision transport accident
11759;V30-V39;V39;Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents
11760;V30-V39;V39.0;Driver injured in collision with other and unspecified motor vehicles in nontraffic accident
11761;V30-V39;V39.1;Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident
11762;V30-V39;V39.2;Unspecified occupant of three-wheeled motor vehicle injured in collision with other and unspecified motor vehicles in nontraffic accident
11763;V30-V39;V39.3;Occupant [any] of three-wheeled motor vehicle injured in unspecified nontraffic accident
11764;V30-V39;V39.4;Driver injured in collision with other and unspecified motor vehicles in traffic accident
11765;V30-V39;V39.5;Passenger injured in collision with other and unspecified motor vehicles in traffic accident
11766;V30-V39;V39.6;Unspecified occupant of three-wheeled motor vehicle injured in collision with other and unspecified motor vehicles in traffic accident
11767;V30-V39;V39.8;Occupant [any] of three-wheeled motor vehicle injured in other specified transport accidents
11768;V30-V39;V39.9;Occupant [any] of three-wheeled motor vehicle injured in unspecified traffic accident
11769;V40-V49;V40;Car occupant injured in collision with pedestrian or animal
11770;V40-V49;V41;Car occupant injured in collision with pedal cycle
11771;V40-V49;V42;Car occupant injured in collision with two- or three-wheeled motor vehicle
11772;V40-V49;V43;Car occupant injured in collision with car, pick-up truck or van
11773;V40-V49;V44;Car occupant injured in collision with heavy transport vehicle or bus
11774;V40-V49;V45;Car occupant injured in collision with railway train or railway vehicle
11775;V40-V49;V46;Car occupant injured in collision with other nonmotor vehicle
11776;V40-V49;V47;Car occupant injured in coalition with fixed or stationary object
11777;V40-V49;V48;Car occupant injured in noncollision transport accident
11778;V40-V49;V49;Car occupant injured in other and unspecified transport accidents
11779;V40-V49;V49.1;Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident
11780;V40-V49;V49.2;Unspecified car occupant injured in collision with other and unspecified motor vehicles in nontraffic accident
11781;V40-V49;V49.3;Car occupant (any) injured in unspecified nontraffic accident
11782;V40-V49;V49.4;Driver injured in collision with other and unspecified motor vehicles in traffic accident
11783;V40-V49;V49.5;Passenger injured in collision with other and unspecified motor vehicles in traffic accident
11784;V40-V49;V49.6;Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident
11785;V40-V49;V49.8;Car occupant (any) injured in other specified transport accidents
11786;V40-V49;V49.9;Car occupant (any) injured in unspecified traffic accident
11787;V50-V59;V50;Occupant of pick-up truck or van injured in collision with pedestrian or animal
11788;V50-V59;V51;Occupant of pick-up truck or van injured in collision with pedal cycle
11789;V50-V59;V52;Occupant of pick-up truck or van injured in collision with two-or three-wheeled motor vehicle
11790;V50-V59;V53;Occupant of pick-up truck or van injured in collision with car, pick-up truck or van
11791;V50-V59;V54;Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus
11792;V50-V59;V55;Occupant of pick-up truck or van injured in collision with railway train or railway vehicle
11793;V50-V59;V56;Occupant of pick-up truck or van injured in collision with other nonmotor vehicle
11794;V50-V59;V57;Occupant of pick-up truck or van injured in collision with fixed or stationary object
11795;V50-V59;V58;Occupant of pick-up truck or van injured in noncollision transport accident.
11796;V50-V59;V59;Occupant of pick-up truck or van injured in other and unspecified transport accidents
11797;V50-V59;V59.0;Driver injured in collision with other and unspecified motor vehicles in non traffic accident
11798;V50-V59;V59.1;Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident
11799;V50-V59;V59.2;Unspecified occupant of pick-up truck or van injured in collision with other and unspecified motor vehicles in nontraffic accident.
11800;V50-V59;V59.3;Occupant (any) of pick-up truck or van injured in unspecified nontraffic accident
11801;V50-V59;V59.4;Driver injured in collision with other and unspecified motor vehicles in traffic accident
11802;V50-V59;V59.5;Passenger injured in collision with other and unspecified motor vehicles in traffic accident
11803;V50-V59;V59.6;Unspecified occupant of pick-up truck or van injured in collision with other and unspecified motor vehicles in traffic accident
11804;V50-V59;V59.8;Occupant (any) of pick-up truck or van injured in other specified transport accidents
11805;V50-V59;V59.9;Occupant (any) of pick-up truck or van injured in unspecified traffic accident
11806;V60-V69;V60;Occupant of heavy transport vehicle injured in collision with pedestrian or animal
11807;V60-V69;V61;Occupant of heavy transport vehicle injured in collision with pedal cycle
11808;V60-V69;V62;Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle
11809;V60-V69;V63;Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van
11810;V60-V69;V64;Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus
11811;V60-V69;V65;Occupant of heavy transport vehicle injured in collision with railyway train or railway vehicle
11812;V60-V69;V66;Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle
11813;V60-V69;V67;Occupant of heavy transport vehhicle injured in collision with fixed or stationary object
11814;V60-V69;V68;Occupant of heavy transport vehicle injured in noncollision transport accident
11815;V60-V69;V69;Occupant of heavy transport vehicle injured in other and unspecified transport accidents
11816;V60-V69;V69.0;Driver injured in collision with other and unspecified motor vehicles in nontraffic accident
11817;V60-V69;V69.1;Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident
11818;V60-V69;V69.2;Unspecified occupant of heavy transport vehicle injured in collision with other and unspecified motor vehicles in nontraffic accident
11819;V60-V69;V69.3;Occupant (any) of heavy transport vehicle injured in unspecified nontraffic accident
